"ppt" "error" "setsize"
"1" 1 -1.85004900711399 6
"2" 1 -0.0698131700797738 1
"3" 1 -0.0349065850398866 2
"4" 1 0.0349065850398867 2
"5" 1 -1.53588974175501 6
"6" 1 0.733038285837619 3
"7" 1 -0.139626340159547 3
"8" 1 -1.08210413623648 6
"9" 1 -2.61799387799149 6
"10" 1 0.418879020478639 2
"11" 1 -1.5707963267949 6
"12" 1 0.139626340159546 1
"13" 1 0.0349065850398868 2
"14" 1 0 1
"15" 1 -2.05948851735331 6
"16" 1 0.0349065850398861 1
"17" 1 0.174532925199433 2
"18" 1 0.418879020478639 1
"19" 1 -4.9013437356467e-17 1
"20" 1 -0.139626340159546 2
"21" 1 -0.314159265358978 3
"22" 1 0.453785605518526 6
"23" 1 -0.0349065850398866 3
"24" 1 -0.488692190558412 2
"25" 1 0.20943951023932 1
"26" 1 0.453785605518525 6
"27" 1 0.139626340159546 2
"28" 1 -0.20943951023932 1
"29" 1 -0.0349065850398871 1
"30" 1 -0.0349065850398862 1
"31" 1 -0.139626340159547 1
"32" 1 -0.10471975511966 3
"33" 1 0.0349065850398863 3
"34" 1 -1.18682389135614 2
"35" 1 -0.0698131700797728 6
"36" 1 -0.104719755119659 2
"37" 1 0.0349065850398866 1
"38" 1 0.10471975511966 1
"39" 1 2.02458193231342 3
"40" 1 -0.279252680319093 2
"41" 1 -0.174532925199433 3
"42" 1 -0.349065850398866 3
"43" 1 0.663225115757846 6
"44" 1 -2.89724655831059 6
"45" 1 0 2
"46" 1 -0.663225115757845 2
"47" 1 0.0698131700797728 2
"48" 1 0.349065850398866 2
"49" 1 -0.0698131700797733 1
"50" 1 2.02458193231342 3
"51" 1 -0.314159265358979 1
"52" 1 -0.209439510239319 1
"53" 1 0 2
"54" 1 -0.244346095279206 3
"55" 1 -1.01229096615671 2
"56" 1 2.58308729295161 3
"57" 1 -0.872664625997165 6
"58" 1 3.07177948351002 6
"59" 1 0.279252680319093 2
"60" 1 2.93215314335047 2
"61" 1 0.279252680319093 6
"62" 1 0.383972435438753 1
